data_ora,latitudine,longitudine,mag_x,mag_y,mag_z,nord,accel_x,accel_y,accel_z,accel_pitch,accel_roll,accel_yaw,gyro_x,gyro_y,gyro_z,gyro_pitch,gyro_roll,gyro_yaw,pitch,roll,yaw,temperatura,temperatura2,pressione,umidita
2019-04-05_16:19:00.631827,35:59:25.1,-41:39:57.7,17.735980987548828,15.60944938659668,51.16183853149414,75.95652568409582,-0.0019746851176023483,0.02622159756720066,0.012428538873791695,2.4552105349040487,89.56706413374773,75.86472794165086,0.2717312276363373,0.09824678301811218,0.0006297742947936058,2.457011997297639,89.38650808303845,75.98795138446705,2.456603466607908,89.65410123434121,76.08457124046605,33.37611389160156,33.37611389160156,983.736572265625,33.800228118896484
2019-04-05_16:19:15.918596,36:36:36.5,-40:48:01.5,17.778974533081055,14.527393341064453,51.66738510131836,23.745335357109628,-0.0034556991886347532,0.025736013427376747,0.014865507371723652,3.4027895723297745,58.58854307766897,24.488801448265516,0.27295294404029846,0.09610874950885773,0.0012406399473547935,3.4366011431554533,58.909992270577284,24.562220859201275,3.491862709626145,59.21933153808716,24.65597203574887,33.31919860839844,33.31919860839844,983.7392578125,32.950626373291016
2019-04-05_16:19:31.187187,37:15:47.7,-39:51:37.9,17.597972869873047,14.626355171203613,51.66434860229492,76.6948008314825,-0.0024683563970029354,0.025736013427376747,0.013159629888832569,2.2616017792474556,89.33655207944898,76.58215735169065,0.26837146282196045,0.10007937252521515,0.00032434146851301193,2.2772996883942604,89.04761458698992,76.67298520727348,2.2777270021042093,89.285892566375,76.75808253414267,33.31919860839844,33.31919860839844,983.748291015625,33.70747756958008
2019-04-05_16:19:46.478518,37:52:03.5,-38:57:48.6,17.663583755493164,15.0181884765625,52.131412506103516,24.313502935669845,-0.004443041514605284,0.02622159756720066,0.012672236189246178,3.805904775822988,58.430909141814254,25.05056743202614,0.26806604862213135,0.09519244730472565,-0.0008973889052867889,3.8394713136121927,58.70284629342914,25.12151260693506,3.893968539226078,58.999624843055365,25.21192382097852,33.39508819580078,33.39508819580078,983.781982421875,34.605308532714844
2019-04-05_16:20:01.743137,38:27:50.9,-38:03:02.3,17.979812622070312,14.465612411499023,52.584312438964844,77.02197372291528,-0.0024683563970029354,0.026464389637112617,0.011210055090487003,2.14437566940935,89.47617480646238,76.89838828007306,0.2698986232280731,0.09458158910274506,0.0027678031474351883,2.157481948652958,89.22475554311421,76.9841344749134,2.15830712088206,89.53551548997144,77.09430542622572,33.4140625,33.4140625,983.804443359375,34.783390045166016
2019-04-05_16:20:17.802439,39:05:28.7,-37:03:32.7,18.393274307250977,14.25631332397461,52.10343933105469,27.817751979912398,-0.0034556991886347532,0.02549321949481964,0.01364702358841896,4.094447824857469,60.36170799752848,28.4893303300539,0.27295294404029846,0.0973304808139801,0.0006297742947936058,4.215399802887817,60.597615901271546,28.565283741171736,4.271173420102849,60.94006109568848,28.666826456015023,33.45201110839844,33.45201110839844,983.791748046875,33.45148468017578
2019-04-05_16:20:33.080374,39:42:31.5,-36:02:55.1,17.96757698059082,14.411273002624512,52.82793045043945,77.06339882023141,-0.0019746851176023483,0.02549321949481964,0.013890719972550869,0.3314965345795311,89.59007504106151,76.964231303672,0.2698986232280731,0.09641417860984802,0.0006297742947936058,0.39905532304230235,89.26641969705129,77.06354908439314,0.400491396995724,89.56799986966404,77.17328973378774,33.52790069580078,33.52790069580078,983.7734375,33.71489715576172
2019-04-05_16:20:48.275684,40:16:42.2,-35:05:01.7,17.330928802490234,13.919629096984863,53.080589294433594,20.932866655026185,-0.0019746851176023483,0.025978805497288704,0.01364702358841896,3.0793352920132424,58.1362547810199,21.76099294094438,0.27203667163848877,0.09702505171298981,0.0012406399473547935,3.1784174312080324,58.366432156049335,21.83480167266283,3.234383787823705,58.678701574713145,21.927051915140314,33.546875,33.546875,983.823486328125,33.45890426635742
2019-04-05_16:21:03.568270,40:50:19.7,-34:06:05.8,17.335357666015625,14.107199668884277,54.445655822753906,76.08575286319247,-0.0012341781985014677,0.025978805497288704,0.011697448790073395,1.9907397420966102,89.69570391657575,76.01340066931452,0.27264752984046936,0.09794135391712189,0.0012406399473547935,2.072022408314347,89.5167802810781,76.12805905491152,2.071984842273912,89.78716014956223,76.22488381658562,33.52790069580078,33.52790069580078,983.857666015625,33.55536651611328
2019-04-05_16:21:18.930830,41:23:22.6,-33:06:06.2,17.48870849609375,13.424925804138184,53.29668426513672,35.239889739628055,-0.0009873425588011742,0.02549321949481964,0.012428538873791695,3.8662234570438403,60.66173771719963,35.80329838388407,0.26806604862213135,0.09580332040786743,1.8909573554992676e-05,3.935367596445995,61.061098877970274,35.87920910631959,3.98597118734615,61.369645843536425,35.974408282971226,33.37611389160156,33.37611389160156,983.842041015625,34.126712799072266
2019-04-05_16:21:34.185285,41:57:58.2,-32:00:55.0,17.69478416442871,13.26404857635498,54.22015380859375,78.41969680447752,-0.0017278495943173766,0.026464389637112617,0.015352901071310043,2.0645503948057646,89.92252083853354,78.28978660646388,0.2698986232280731,0.09641417860984802,1.8909573554992676e-05,2.0900677681015205,89.53997560349947,78.38223321688,2.0930083779826227,89.84045611565584,78.49012288500953,33.48995590209961,33.48995590209961,983.806884765625,33.4848747253418
2019-04-05_16:21:49.508922,42:29:45.6,-30:58:40.0,-3.1728105545043945,13.618317604064941,54.40703201293945,25.879035227402834,-0.003208863316103816,0.026707183569669724,0.012915932573378086,3.9287085888920554,58.81419886746786,26.95848515402082,0.26806604862213135,0.09916307032108307,-0.0002865232527256012,4.033168648284584,59.103710095817185,27.033318414114774,4.0872872252863575,59.41209313684326,27.126567571758372,33.48995590209961,33.48995590209961,983.8662109375,33.77054977416992
2019-04-05_16:22:04.701844,43:00:54.6,-29:55:17.9,17.815885543823242,13.179161071777344,54.10920333862305,77.82242408231659,-0.0012341781985014677,0.026707183569669724,0.015109204687178135,2.176719176450299,89.65563802690447,77.71348939524405,0.26806604862213135,0.09794135391712189,-0.0005919560790061951,2.171548509805188,89.44542529481897,77.81879042167813,2.1705402031289647,89.68784236884107,77.90251488052415,33.45201110839844,33.45201110839844,983.867919921875,33.80393981933594
2019-04-05_16:22:19.966235,43:31:23.6,-28:50:47.7,16.88756561279297,12.519844055175781,54.93326950073242,38.044228809051894,-0.0034556991886347532,0.027192767709493637,0.012428538873791695,3.4706961668316874,57.2438086036877,38.552459770097954,0.2705095112323761,0.09824678301811218,0.0009352071210741997,3.499845066331775,57.668660030440826,38.63435032315182,3.5445904893581743,57.917347218120995,38.70710891328539,33.50892639160156,33.50892639160156,983.90478515625,33.573917388916016
